Team,StreakType,Length,StartDate,EndDate
Los Angeles Angels,WIN,5,2023-04-30,2023-05-05
Los Angeles Angels,WIN,5,2023-06-04,2023-06-09
Los Angeles Angels,LOSS,6,2023-07-03,2023-07-14
Los Angeles Angels,LOSS,7,2023-08-01,2023-08-07
Los Angeles Angels,LOSS,6,2023-09-01,2023-09-06
Los Angeles Angels,LOSS,6,2023-09-12,2023-09-19
Arizona Diamondbacks,WIN,6,2023-05-28,2023-06-02
Arizona Diamondbacks,LOSS,5,2023-07-20,2023-07-24
Arizona Diamondbacks,LOSS,9,2023-08-01,2023-08-11
Arizona Diamondbacks,WIN,6,2023-08-19,2023-08-25
Arizona Diamondbacks,WIN,5,2023-09-15,2023-09-20
Baltimore Orioles,WIN,7,2023-04-16,2023-04-24
Baltimore Orioles,WIN,5,2023-06-08,2023-06-13
Baltimore Orioles,WIN,8,2023-07-05,2023-07-16
Baltimore Orioles,WIN,7,2023-09-02,2023-09-09
Baltimore Orioles,WIN,5,2023-09-23,2023-09-28
Boston Red Sox,WIN,8,2023-04-29,2023-05-06
Boston Red Sox,LOSS,5,2023-06-24,2023-06-29
Boston Red Sox,WIN,6,2023-07-05,2023-07-14
Boston Red Sox,WIN,5,2023-07-22,2023-07-28
Boston Red Sox,LOSS,5,2023-08-27,2023-09-01
Boston Red Sox,LOSS,5,2023-09-23,2023-09-28
Chicago Cubs,LOSS,5,2023-05-13,2023-05-17
Chicago Cubs,WIN,5,2023-06-13,2023-06-17
Chicago Cubs,WIN,8,2023-07-21,2023-07-29
Chicago Cubs,LOSS,5,2023-09-12,2023-09-17
Cincinnati Reds,LOSS,6,2023-04-18,2023-04-23
Cincinnati Reds,WIN,5,2023-04-24,2023-04-29
Cincinnati Reds,WIN,5,2023-05-26,2023-05-31
Cincinnati Reds,WIN,12,2023-06-10,2023-06-23
Cincinnati Reds,WIN,5,2023-07-02,2023-07-06
Cincinnati Reds,LOSS,7,2023-07-09,2023-07-18
Cincinnati Reds,WIN,5,2023-07-19,2023-07-23
Cincinnati Reds,LOSS,6,2023-08-01,2023-08-06
Colorado Rockies,LOSS,8,2023-04-11,2023-04-19
Colorado Rockies,LOSS,6,2023-06-04,2023-06-10
Colorado Rockies,LOSS,8,2023-06-14,2023-06-21
Colorado Rockies,LOSS,5,2023-08-09,2023-08-13
Colorado Rockies,LOSS,6,2023-08-20,2023-08-26
Colorado Rockies,LOSS,5,2023-09-06,2023-09-11
Colorado Rockies,LOSS,7,2023-09-17,2023-09-24
Detroit Tigers,LOSS,6,2023-04-05,2023-04-12
Detroit Tigers,WIN,5,2023-05-03,2023-05-06
Detroit Tigers,LOSS,5,2023-06-02,2023-06-06
Detroit Tigers,LOSS,5,2023-08-26,2023-08-30
Detroit Tigers,WIN,5,2023-09-24,2023-09-28
Houston Astros,WIN,8,2023-05-14,2023-05-22
Houston Astros,LOSS,5,2023-06-15,2023-06-19
Houston Astros,WIN,5,2023-08-26,2023-08-30
Kansas City Royals,LOSS,7,2023-04-14,2023-04-21
Kansas City Royals,LOSS,10,2023-06-05,2023-06-16
Kansas City Royals,LOSS,6,2023-07-03,2023-07-08
Kansas City Royals,LOSS,5,2023-07-19,2023-07-23
Kansas City Royals,WIN,7,2023-07-28,2023-08-04
Kansas City Royals,LOSS,6,2023-08-25,2023-08-30
Kansas City Royals,WIN,6,2023-09-18,2023-09-24
Los Angeles Dodgers,WIN,6,2023-04-28,2023-05-03
Los Angeles Dodgers,WIN,6,2023-05-09,2023-05-15
